-0.0137,19.46158,0.0709,19.46158,5,-0.0108,23.26609,0.0705,23.26609,10,-0.0078,23.11366,0.046,23.11366,15,-0.0167,23.495,0.0769,23.495,20,-0.0167,20.59849,0.049,20.59849,25,-0.0108,21.66553,0.0574,21.66553,30,-0.0137,30.12564,0.0741,30.12564,35,-0.0167,26.92452,0.061,26.92452,40
-0.0137,23.01838,0.0819,23.01838,5,-0.0108,25.73362,0.0826,25.73362,10,-0.0078,25.40017,0.049,25.40017,15,-0.0197,25.162,0.0804,25.162,20,-0.0167,21.90688,0.049,21.90688,25,-0.0108,23.22254,0.0584,23.22254,30,-0.0137,32.30735,0.0789,32.30735,35,-0.0167,28.43525,0.0652,28.43525,40
-0.0137,21.39877,0.0789,21.39877,5,-0.0108,28.02694,0.0908,28.02694,10,-0.0078,24.25691,0.049,24.25691,15,-0.0197,26.982,0.092,26.982,20,-0.0167,24.25691,0.055,24.25691,25,-0.0108,25.5272,0.061,25.5272,30,-0.0137,31.1641,0.0789,31.1641,35,-0.0167,30.21138,0.0699,30.21138,40
-0.0147,26.4164,0.0908,26.4164,5,-0.0108,19.68388,0.0729,19.68388,10,-0.0099,26.44816,0.055,26.44816,15,-0.0227,28.576,0.0968,28.576,20,-0.0167,23.36771,0.056,23.36771,25,-0.0108,24.1934,0.063,24.1934,30,-0.0167,34.76853,0.0839,34.76853,35,-0.0167,32.45026,0.0729,32.45026,40
-0.0167,25.25726,0.0879,25.25726,5,-0.0108,31.29509,0.0968,31.29509,10,-0.0108,27.25797,0.058,27.25797,15,-0.0227,30.177,0.1011,30.177,20,-0.0167,25.59071,0.0574,25.59071,25,-0.0108,27.06742,0.0669,27.06742,30,-0.0167,33.40298,0.0849,33.40298,35,-0.0167,31.27273,0.0748,31.27273,40
-0.0167,24.06637,0.0849,24.06637,5,-0.0108,24.06637,0.0819,24.06637,10,-0.0108,28.66322,0.061,28.66322,15,-0.0227,31.802,0.1076,31.802,20,-0.0182,26.92452,0.061,26.92452,25,-0.0108,28.72727,0.0691,28.72727,30,-0.0167,37.1662,0.0879,37.1662,35,-0.0182,33.59352,0.0759,33.59352,40
-0.0227,28.87758,0.0983,28.87758,5,-0.0108,33.3077,0.0992,33.3077,10,-0.0137,30.15316,0.0669,30.15316,15,-0.0227,35.261,0.1078,35.261,20,-0.0191,28.43525,0.0652,28.43525,25,-0.0127,30.12564,0.0741,30.12564,30,-0.0167,35.59422,0.0938,35.59422,35,-0.0197,37.1662,0.0879,37.1662,40
-0.0257,27.49614,0.0938,27.49614,5,-0.0108,29.80648,0.0998,29.80648,10,-0.0143,31.307,0.0699,31.307,15,-0.0227,38.147,0.1112,38.147,20,-0.0197,30.21138,0.0699,30.21138,25,-0.0137,31.21173,0.0789,31.21173,30,-0.0167,38.29358,0.0988,38.29358,35,-0.0197,39.58201,0.0917,39.58201,40
-0.0257,30.33047,0.1043,30.33047,5,-0.0116,31.68809,0.1147,31.68809,10,-0.0145,32.48202,0.0729,32.48202,15,-0.0227,33.284,0.1118,33.284,20,-0.0197,31.307,0.0729,31.307,25,-0.0137,32.35499,0.0789,32.35499,30,-0.0182,42.62049,0.1028,42.62049,35,-0.0197,38.18182,0.092,38.18182,40
-0.0257,31.78336,0.1103,31.78336,5,-0.0127,34.30805,0.1207,34.30805,10,-0.0167,33.59352,0.0759,33.59352,15,-0.0251,39.805,0.1147,39.805,20,-0.0197,32.45026,0.0729,32.45026,25,-0.0137,34.76853,0.0839,34.76853,30,-0.0219,41.02469,0.0998,41.02469,35,-0.0197,35.59422,0.0938,35.59422,40
-0.0257,34.06988,0.1159,34.06988,5,-0.0137,39.73853,0.1297,39.73853,10,-0.0167,35.88003,0.0789,35.88003,15,-0.0257,41.455,0.1148,41.455,20,-0.0197,33.59352,0.0759,33.59352,25,-0.0137,33.40298,0.0849,33.40298,30,-0.0227,44.68584,0.1079,44.68584,35,-0.0197,41.02469,0.0998,41.02469,40
-0.0257,33.02189,0.1088,33.02189,5,-0.0137,38.16655,0.1267,38.16655,10,-0.0176,34.76853,0.0839,34.76853,15,-0.0257,43.091,0.1205,43.091,20,-0.0227,35.88003,0.0789,35.88003,25,-0.0137,38.54545,0.0862,38.54545,30,-0.0227,47.6937,0.1177,47.6937,35,-0.0197,43.45455,0.1034,43.45455,40
-0.0257,36.67396,0.1237,36.67396,5,-0.0137,37.02329,0.1267,37.02329,10,-0.0197,38.35709,0.0849,38.35709,15,-0.0257,36.69,0.1222,36.69,20,-0.0227,34.76853,0.0839,34.76853,25,-0.0137,37.1662,0.0879,37.1662,30,-0.0227,49.59913,0.1222,49.59913,35,-0.0227,42.60832,0.1041,42.60832,40
-0.0287,35.35604,0.1207,35.35604,5,-0.0167,35.88003,0.1267,35.88003,10,-0.0197,39.5599,0.0849,39.5599,15,-0.0257,44.716,0.1297,44.716,20,-0.0247,38.35709,0.0849,38.35709,25,-0.0137,39.59562,0.0894,39.59562,30,-0.0227,51.24596,0.1276,51.24596,35,-0.0227,44.90909,0.1091,44.90909,40
-0.0287,39.38602,0.1303,39.38602,5,-0.0227,41.31051,0.1367,41.31051,10,-0.0197,37.1662,0.0879,37.1662,15,-0.0257,46.106,0.1386,46.106,20,-0.0257,39.5718,0.0849,39.5718,25,-0.0137,35.59422,0.0938,35.59422,30,-0.0227,54.32459,0.1357,54.32459,35,-0.0227,46.12172,0.1118,46.12172,40
-0.0287,38.16655,0.1237,38.16655,5,-0.0247,43.0254,0.1426,43.0254,10,-0.0203,41.02469,0.0998,41.02469,15,-0.0275,48.869,0.1386,48.869,20,-0.0257,37.1662,0.0879,37.1662,25,-0.0159,41.02469,0.0998,41.02469,30,-0.0227,52.68592,0.1327,52.68592,35,-0.0227,47.6937,0.1177,47.6937,40
-0.0287,40.77699,0.1374,40.77699,5,-0.0257,44.48622,0.1486,44.48622,10,-0.0227,42.4946,0.1011,42.4946,15,-0.0302,47.598,0.1566,47.598,20,-0.0257,41.27875,0.0968,41.27875,25,-0.0197,42.60832,0.1041,42.60832,30,-0.0227,56.1411,0.1416,56.1411,35,-0.0227,48.36364,0.1205,48.36364,40
-0.0287,42.41566,0.141,42.41566,5,-0.0287,48.83696,0.1566,48.83696,10,-0.0227,44.66089,0.1058,44.66089,15,-0.0307,52.013,0.1586,52.013,20,-0.0275,42.6307,0.1028,42.6307,25,-0.0203,46.12172,0.1118,46.12172,30,-0.0242,58.06876,0.1476,58.06876,35,-0.0242,50.18182,0.1262,50.18182,40
-0.0287,44.1496,0.1458,44.1496,5,-0.0347,47.12207,0.1506,47.12207,10,-0.0227,46.14554,0.1118,46.14554,15,-0.0317,50.457,0.1626,50.457,20,-0.0317,45.97881,0.1028,45.97881,25,-0.0219,44.90909,0.1148,44.90909,30,-0.0242,57.0303,0.1327,57.0303,35,-0.0247,51.2902,0.1297,51.2902,40
-0.0302,45.97881,0.1542,45.97881,5,-0.0347,45.97881,0.1506,45.97881,10,-0.0227,47.72228,0.1177,47.72228,15,-0.0317,54.776,0.1715,54.776,20,-0.0317,44.5021,0.1101,44.5021,25,-0.0278,43.63636,0.1148,43.63636,30,-0.0242,59.82493,0.1536,59.82493,35,-0.0251,52.60018,0.1357,52.60018,40
-0.0317,47.43964,0.1566,47.43964,5,-0.0347,49.88494,0.1596,49.88494,10,-0.0239,49.6944,0.1222,49.6944,15,-0.0347,52.838,0.1775,52.838,20,-0.0317,46.86801,0.1161,46.86801,25,-0.0311,47.6937,0.1177,47.6937,30,-0.0257,61.77863,0.162,61.77863,35,-0.0257,54.32459,0.1357,54.32459,40
-0.0317,49.94846,0.1655,49.94846,5,-0.0366,51.37753,0.1665,51.37753,10,-0.0247,51.37356,0.1297,51.37356,15,-0.0347,57.011,0.1781,57.011,20,-0.0323,48.50351,0.1237,48.50351,25,-0.0317,49.59913,0.1222,49.59913,30,-0.0257,60.65062,0.1476,60.65062,35,-0.0257,56.11887,0.1416,56.11887,40
-0.0317,48.64641,0.1566,48.64641,5,-0.0376,56.19668,0.1805,56.19668,10,-0.0247,52.78119,0.1327,52.78119,15,-0.0347,59.126,0.1841,59.126,20,-0.0376,49.55149,0.1237,49.55149,25,-0.0376,51.2902,0.1297,51.2902,30,-0.0287,63.34544,0.1677,63.34544,35,-0.0257,57.99168,0.149,57.99168,40
-0.0317,51.50456,0.1685,51.50456,5,-0.0376,54.93433,0.1745,54.93433,10,-0.0347,54.39128,0.1357,54.39128,15,-0.0347,60.632,0.1865,60.632,20,-0.0376,51.18063,0.1297,51.18063,25,-0.0406,57.0303,0.1327,57.0303,30,-0.0287,64.81081,0.1685,64.81081,35,-0.0257,60.68238,0.1566,60.68238,40
