eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3,eps3,sig1,eps1,sig1,sig3
-0.059016546,65.31072358,0.306997743,44.48598131,0,-1.360731656,103.2145328,0.72234763,102.6168224,10,-1.360731656,129.6153947,0.457424775,99.72637056,20,-0.830141258,146.7854964,0.37960485,109.8680027,30,-2.213921016,177.754697,0.266412232,91.23229598,40
-0.044867469,60.40466326,0.316027088,39.43925234,0,-1.205091806,102.9349473,0.803611738,103.5514019,10,-1.205091806,128.6301886,0.521095623,104.266307,20,-0.71694864,143.5697081,0.407903004,113.5292417,30,-2.054036443,177.1848751,0.306838167,95.43749054,40
-0.03779293,55.93795163,0.316027088,34.57943925,0,-1.049451956,102.3092083,0.930022573,103.5514019,10,-1.049451956,127.1790066,0.563542854,108.1770527,20,-0.617905099,140.2928991,0.44186079,117.4467675,30,-1.887391755,176.3520356,0.308859463,99.72637056,40
-0.03779293,52.71606128,0.306997743,30.28037383,0,-0.893812106,101.4571381,1.056433409,102.4299065,10,-0.893812106,125.4216118,0.605990086,111.5399685,20,-0.540085174,137.1881684,0.471573852,120.8883322,30,-1.742756743,175.0147588,0.337157618,104.1198574,40
-0.03779293,49.49417092,0.334085779,25.60747664,0,-0.738172256,100.3254824,1.137697517,100.7476636,10,-0.738172256,122.9559337,0.655511857,115.1035745,20,-0.469339787,133.9369881,0.501286914,124.1248675,30,-1.587116893,173.4304408,0.365455772,107.8177088,40
-0.03779293,46.27228057,0.325056433,20.74766355,0,-0.582532406,98.67459643,1.246049661,98.87850467,10,-0.603756022,120.0554003,0.719182705,118.7648136,20,-0.40566894,130.5906157,0.542319239,127.6616244,30,-1.431477043,171.3268926,0.393753927,111.8084594,40
-0.030718391,43.05039021,0.325056433,15.88785047,0,-0.426892555,96.27814906,1.282167043,95.88785047,10,-0.497637942,117.0074188,0.811151707,122.462665,20,-0.34907263,126.9021789,0.598915548,131.5425378,30,-1.275837193,168.7706821,0.439030974,116.8902592,40
-0.030718391,39.82849986,0.343115124,11.77570093,0,-0.292476321,93.33750843,1.318284424,93.27102804,10,-0.40566894,113.5902624,0.931418864,126.119836,20,-0.294834501,123.2315252,0.655511857,135.0573273,30,-1.127271881,165.731188,0.471573852,120.9176221,40
-0.030718391,36.6066095,0.35214447,8.037383178,0,-0.200507319,90.03140958,1.354401806,90.65420561,10,-0.327849014,110.4171886,1.044611482,128.5350915,20,-0.238238192,118.8973156,0.712108166,138.3890548,30,-0.999930185,162.7271413,0.501286914,124.1834473,40
-0.030718391,33.38471914,,,0,-0.133299202,86.65574718,1.408577878,88.03738318,10,-0.264178167,107.1220734,1.256847641,130.2943881,20,-0.19343278,116.0188843,0.775779014,141.7281048,30,-0.886737567,159.5876289,0.542319239,127.6982368,40
-0.030718391,30.16282879,,,0,-0.098633962,82.35745255,1.408577878,85.23364486,10,-0.200507319,103.6951537,1.412487492,129.8150987,20,-0.165134626,112.1013585,0.8465244,144.9792851,30,-0.780619488,156.067609,0.589819712,131.6965423,40
-0.030718391,25.62289238,,,0,-0.089335997,77.39804275,1.453724605,82.05607477,10,-0.164123977,96.06214275,1.568127342,127.924568,20,-0.153343728,109.147959,0.931418864,148.3406512,30,-0.695725024,153.0047211,0.627213702,135.683806,40
-0.009494776,19.76490991,,,0,-0.073165623,73.14577512,1.480812641,79.62616822,10,-0.179283703,100.7515175,1.709618115,125.2248665,20,-0.124102302,105.6136429,1.037536944,151.1667791,30,-0.617905099,149.568038,0.662586395,139.0236696,40
-0.009494776,16.54301956,,,0,-0.061374726,67.04371006,1.516930023,76.26168224,10,-0.109548965,92.38297111,1.822810733,121.9448612,20,-0.084484885,101.8059543,1.164878639,154.366702,30,-0.540085174,146.0923018,0.712108166,142.3798054,40
-0.009494776,13.3211292,,,0,-0.054300187,61.84475062,1.571106095,72.89719626,10,-0.093378591,83.38678375,1.907705197,118.5304943,20,-0.08165507,96.76808941,1.313443951,156.8416996,30,-0.469339787,142.665382,0.768704475,145.8579825,40
-0.011852955,9.855156245,,,0,-0.044867469,58.57404374,1.616252822,70.28037383,10,-0.091357294,77.53403163,1.971376044,115.3232489,20,-0.073165623,93.02630311,1.469083801,158.2263136,30,-0.40566894,138.8137586,0.825300784,149.0798728,40
,,,,,-0.03779293,54.47345602,1.706546275,68.78504673,10,-0.078890414,68.38616437,2.027972353,112.1379709,20,-0.056186731,88.80123326,1.624723651,158.5591535,30,-0.34907263,135.0573273,0.888971632,152.4482127,40
,,,,,-0.03779293,51.25156566,1.81489842,67.6635514,10,-0.09085197,88.63281626,2.091643201,108.6597938,20,-0.030718391,83.99768764,1.780363501,157.7470241,30,-0.29955086,131.1153933,0.959717018,155.9044224,40
,,,,,-0.034255661,47.22420272,1.986455982,67.10280374,10,-0.080240162,72.92610078,2.183612204,105.1816167,20,-0.042037653,79.25857982,1.936003351,155.8831206,30,-0.257103628,127.3565212,1.037536944,159.2581174,40
,,,,,-0.013032045,43.63618846,2.130925508,67.28971963,10,-0.066091085,64.87137489,2.318028438,102.5887938,20,-0.026675798,73.23992127,2.091643201,152.8875614,30,-0.240933254,122.423728,1.122431407,162.6264573,40
,,,,,-0.016569314,39.9261329,2.248306998,67.47663551,10,-0.044867469,60.55111282,2.473668288,101.4704517,20,-0.009494776,68.41057263,2.240208513,149.4899316,30,-0.20616695,118.3547548,1.21440041,165.9215724,40
,,,,,-0.016569314,36.70424254,,,10,-0.026675798,54.80819787,2.629308138,101.1908662,20,-0.018590611,61.29382132,2.388773824,146.270704,30,-0.160418267,114.957125,1.327593028,169.1271906,40
,,,,,-0.016569314,33.48235219,,,10,-0.018590611,45.41450456,2.770798911,101.174594,20,-0.023643853,57.03632335,2.544413674,143.6878662,30,-0.129761932,111.0762116,1.469083801,172.4585483,40
,,,,,-0.016569314,30.26046183,,,10,-0.02735178,50.22641873,,,20,-0.023643853,53.81443299,2.700053524,142.0369803,30,-0.118442671,107.1660083,1.624723651,175.107954,40
,,,,,-0.016569314,27.03857147,,,10,-0.013739499,39.76992003,,,20,-0.01939913,50.28499855,2.855693375,141.1582829,30,-0.101463778,103.8269583,1.780363501,176.8254079,40
,,,,,-0.016569314,23.86549764,,,10,-0.016569314,35.53264605,,,20,-0.034255661,46.93130359,2.98303507,140.7531692,30,-0.077881982,100.9467836,1.936003351,177.8904957,40
,,,,,-0.009494776,20.2042586,,,10,0.001117032,32.61585895,,,20,-0.016569314,77.61248675,,,30,-0.063732905,96.84619584,2.091643201,178.4896075,40
,,,,,-0.002420237,16.59183608,,,10,0.004654302,29.43058098,,,20,-0.016569314,42.46459196,,,30,-0.070335808,93.63406879,2.247283051,178.3032172,40
,,,,,0.004654302,13.68725311,,,10,0.004654302,26.20869063,,,20,-0.016569314,39.24270161,,,30,-0.0505271,88.97697273,2.402922901,177.7041053,40
,,,,,0.004654302,10.46536275,,,10,0.004654302,22.98680027,,,20,-0.016569314,36.02081125,,,30,-0.054300187,85.91129524,2.558562752,176.7455264,40
,,,,,0.004654302,7.243472396,,,10,0.004654302,19.76490991,,,20,-0.016569314,32.7989209,,,30,-0.054300187,82.68940489,2.714202602,175.6404979,40
,,,,,0.004654302,4.497543116,,,10,0.004654302,16.54301956,,,20,-0.016569314,29.57703054,,,30,-0.051942007,78.88659794,2.869842452,174.4555878,40
,,,,,,,,,,0.004654302,13.3211292,,,20,-0.020106584,25.9157915,,,30,-0.027888576,75.00568456,3.025482302,173.3106185,40
,,,,,,,,,,0.004654302,10.2823008,,,20,0.004654302,64.94459967,,,30,-0.021285673,70.97343996,3.181122152,172.2588443,40
,,,,,,,,,,-0.002420237,7.804862382,,,20,0.004654302,22.1081029,,,30,-0.028360212,67.3854257,3.336762002,171.4067742,40
